,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,ID,Address,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Highland Creek,Rouge Hill,Port Union",43.78573000000006,-79.15874999999994,4c23d3aaf7ced13a5ed7216d,45 Lawson Rd,Royal Canadian Legion,43.78253332838298,-79.16308473261682,Bar
1,"Guildwood,Morningside,West Hill",43.76569000000006,-79.17525603599995,520194bd498edfb499b37b43,209 Manse Road.,The Strawberry Patch,43.764738,-79.173081,Tea Room
2,"Guildwood,Morningside,West Hill",43.76569000000006,-79.17525603599995,59574d48a4ba7c5751a65f86,88 Homestead Rd,Homestead Roofing Repair,43.7651402,-79.1786627,Construction & Landscaping
3,"Guildwood,Morningside,West Hill",43.76569000000006,-79.17525603599995,4b114be3f964a520e57923e3,292 Manse Rd. (at Lawrence Ave. E),Heron Park Community Centre,43.76886695009025,-79.17695787066756,Gym / Fitness Center
4,"Guildwood,Morningside,West Hill",43.76569000000006,-79.17525603599995,4e582aceb61c5534c28c2691,Manse (Lawrence),Heron Park,43.76932738615917,-79.17720079421997,Park
5,Woburn,43.76835912100006,-79.21758999999997,4cc1d28c06c254815ac18547,300 Borough Dr (Scarborough Town Centre),Starbucks,43.770037201625215,-79.22115586641958,Coffee Shop
6,Woburn,43.76835912100006,-79.21758999999997,5a8b831ce1f0aa07a1f26be3,Barnes Crescent,cheapOseo,43.76604230447005,-79.2185389995575,Business Service
7,Woburn,43.76835912100006,-79.21758999999997,4de0403ed4c040523ea079f4,369 Yonge Street,Korean Grill House,43.7708117291354,-79.21450208834013,Korean Restaurant
8,Woburn,43.76835912100006,-79.21758999999997,4e9a57ac754aab1ca9c20a47,Scarborough,Densgrove Park,43.76539657689414,-79.2201304734655,Park
9,Cedarbrae,43.76968799900004,-79.23943999999995,4cbf64e997bc721e0c3f8567,Toronto ON,North Bendale Park,43.769962687741085,-79.24526453018188,Playground
10,Scarborough Village,43.74312500000008,-79.23174973599998,4b6dbc8ef964a520fd8a2ce3,3090 Eglinton Ave. E,Anjappar Authentic Chettinadu Restaurant,43.741592093369114,-79.22679861121233,Indian Restaurant
11,Scarborough Village,43.74312500000008,-79.23174973599998,4bb3e779f187a593b89e13f8,2990 Eglinton Ave E,Swiss Chalet Rotisserie & Grill,43.740377593835426,-79.23265630651542,Restaurant
12,Scarborough Village,43.74312500000008,-79.23174973599998,4daca3b743a17e90f8e3f2f4,Toronto ON,M&S Supermarket,43.746518727784135,-79.23160927976531,Grocery Store
13,Scarborough Village,43.74312500000008,-79.23174973599998,4b13c0a4f964a520dd9823e3,2995 Eglinton Ave. East (at Bellamy Rd.),Eglinton GO Station,43.739701465456726,-79.23228116650037,Train Station
14,"East Birchmount Park,Ionview,Kennedy Park",43.726244585000074,-79.26366999999993,4b6a37ccf964a520a5cd2be3,682 Kennedy Road (Eglinton Ave. E.),Giant Tiger,43.72744662939136,-79.26624035854763,Department Store
15,"East Birchmount Park,Ionview,Kennedy Park",43.726244585000074,-79.26366999999993,4c6aa500c946e21ec432ed8e,678-682 Kennedy Rd,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
16,"East Birchmount Park,Ionview,Kennedy Park",43.726244585000074,-79.26366999999993,4dc158bd52b1877d85b172c8,680 Kennedy Rd (at Merrian Rd.),Dollarama,43.72690439744201,-79.26588589287013,Discount Store
17,"East Birchmount Park,Ionview,Kennedy Park",43.726244585000074,-79.26366999999993,4f1b1a8fe4b0838231c3badb,Canada,Bros. CONVENIENCE,43.72778143829621,-79.26570835903846,Convenience Store
18,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,4c52e13994790f47ae5632a3,720 Warden Ave (at Comstock Rd),Tim Hortons,43.7162878856343,-79.2833371460438,Coffee Shop
19,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,4cae70b639458cfa10d3f29f,Canada,Clairlea Futbol Centre,43.71523429184505,-79.28650639185544,Soccer Field
20,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,4b6995d3f964a5206ea82be3,768 Warden Ave (at Fairfax Cres.),Tim Hortons,43.7162843862256,-79.283337,Coffee Shop
21,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,4f9a23a7e4b01cdc44fe1c04,St Clair Avenue East (at Warden Avenue),Warden Ave & St. Clair Ave E,43.71205669347002,-79.28100496530533,Intersection
22,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,4cdd51f03f6a8cfa1625f7ea,Warden Avenue (at Fairfax Crescent),Warden Ave & Fairfax Cres,43.716187,-79.282936,Intersection
23,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,4d6baccf6107f04d5a94317a,Warden Ave,TTC Bus #68 Warden,43.71177810997778,-79.27971412913774,Bus Line
24,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,4aef7f5ff964a520e4d821e3,3276 St Clair Ave E (at Warden Ave),Warden Subway Station,43.71122905571982,-79.27960224480387,Metro Station
25,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,516f1db2e4b037c43004ba18,St. Clair Avenue East,Warden Station Bus Loop,43.71124084776515,-79.27957605867647,Bus Station
26,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,4cb6527eb315a0934c469b76,3276 St. Clair Ave. East (Warden),Bakery On The Go,43.711270905205765,-79.27950587661704,Bakery
27,"Clairlea,Golden Mile,Oakridge",43.71313321100007,-79.28505499999994,4eb2c6918b815ab741f9fcdd,3276 St. Clair Ave E (Warden Ave),Cafe on the go,43.71115104374148,-79.27946923512921,Bakery
28,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4c7be061794e224b288f6c28,2882 Kingston Rd,Dairy Queen,43.722757687671276,-79.23562467098236,Fast Food Restaurant
29,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4b74809bf964a52077e02de3,2999 Kingston Rd,Shoppers Drug Mart,43.725669,-79.231626,Pharmacy
30,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,50eb6661e4b0fb08e0dd64cb,3090 Kingston Rd (McCowan Road),Tim Hortons,43.726658,-79.231484,Coffee Shop
31,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,5914917fa3061963ecb7551a,2882 Kingston Rd,Dairy Queen Ltd Brazier,43.7226367,-79.2354522,Fast Food Restaurant
32,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4b71ea4bf964a520ea632de3,2850 Kingston Road (St Clair Ave E),Canadian Tire,43.72100515830479,-79.23778954268072,Furniture / Home Store
33,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4c952867533aa093f374c645,2893 KINGSTON ROAD (at Harewood Ave),Pizza Pizza,43.722490904836995,-79.23527706203652,Pizza Place
34,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4eb060409adff29daf3c7a58,3009 Kingston Rd,Subway,43.7267415276209,-79.23261160083861,Sandwich Place
35,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4c2bcdf18ef52d7f16fc31ba,2851 kingston Rd,Big Boy's Burger,43.721751,-79.236301,Burger Joint
36,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,5984776475a6ea2b65a87614,2963 Kingston Rd,LCBO,43.725183,-79.232039,Liquor Store
37,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4d5c1942ddac721e123c6afe,"2975 Kingston Rd,Cliffcrest Plaza (McCowan)",Dollarama,43.725135874377095,-79.23192870192648,Discount Store
38,"Cliffcrest,Cliffside,Scarborough Village West",43.72357500000004,-79.23497617799995,4eac648be3000d1f064b77b4,Kingston Rd.,Wild Wing,43.72110226026739,-79.23666536808014,Wings Joint
39,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4bf95b3b5317a593a218017f,Canada,Rosetta McLain Gardens,43.69701861855136,-79.25573911728534,Park
40,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4b2162a8f964a520133b24e3,93 Birchmount Rd.,Birchmount Community Centre,43.69517507509799,-79.26216087070237,General Entertainment
41,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4ae591a0f964a520eda021e3,3701 Danforth Avenue (Kingston Rd),Variety Village,43.69883533655271,-79.25795245225459,Gym
42,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4c0311459a7920a1a675cf79,93 Birchmount Rd. (at Kingston Rd.),Birchmount Stadium,43.695322867712626,-79.26129341125488,College Stadium
43,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4b9273ccf964a5209afa33e3,75 Birchmount Rd,Scarborough Gardens,43.6946465192162,-79.26223031725522,Skating Rink
44,"Birch Cliff,Cliffside West",43.69666500000005,-79.26016331599999,4d9772a829352d4363c9f4c1,3701 Danforth Avenue,Variety Village Sunshine Pool,43.69881350657984,-79.25661563873291,Gym Pool
45,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,4bc88e208b7c9c743b5538cf,1772 Midland Avenue,Calabria Bakery,43.7616699583205,-79.26950674263456,Bakery
46,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,4dbc21be0437955ec029bfd6,105 Midwest,Montmartre Bakery,43.75869874157778,-79.26773564785539,Bakery
47,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,4b920246f964a52045e333e3,300 Midwest Rd.,Mill St. Brewery,43.759471599836886,-79.27112102508545,Brewery
48,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,4eee45dc6c25c7f9d2f89d9a,1610 Midland Ave (Lawrence Ave),Aurora Fine China & Crystal,43.75715598493073,-79.26736129562715,Gift Shop
49,"Dorset Park,Scarborough Town Centre,Wexford Heights",43.759975000000054,-79.26897402899993,5d1bd580c1959800231ff9cc,Toronto ON M1P 3C3,Shiro Sushi,43.756228,-79.266965,Japanese Restaurant
50,"Maryvale,Wexford",43.750710464000065,-79.30055999999996,57f745dc498e32fba20af9f2,1256 Warden Ave,Scarborough Garage Door Repair,43.75128820404063,-79.30150777101517,Auto Garage
51,"Maryvale,Wexford",43.750710464000065,-79.30055999999996,4f6530a8e4b045fbd47f35e9,Toronto ON,Express Convenience,43.754732551782645,-79.29789911186526,Convenience Store
